127.0.0.1, 2011-03-24 00:43:32, GET, /, HTTP/1.1, 303, 0.000735
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.757525
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.000483
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001101
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001752
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.001199
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002436
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.001902
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.001913
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.001456
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000685
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.001509
127.0.0.1, 2011-03-24 00:43:32, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.001258
127.0.0.1, 2011-03-24 00:43:33, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000447
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/default/errors/welcome, HTTP/1.1, 303, 0.023546
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/default/index, HTTP/1.1, 200, 0.024061
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000455
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.002816
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.001810
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002351
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.003412
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.002056
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.001277
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001535
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000477
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.002625
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.002229
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.003625
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.001458
127.0.0.1, 2011-03-24 00:43:43, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.003080
127.0.0.1, 2011-03-24 00:43:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000436
127.0.0.1, 2011-03-24 00:43:47, POST, /admin/default/index, HTTP/1.1, 303, 0.043820
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/default/errors/welcome, HTTP/1.1, 200, 0.041712
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.001027
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.001453
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.001586
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000807
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.001438
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001074
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.001117
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001057
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.000884
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.000723
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.004226
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.001712
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.002670
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.003904
127.0.0.1, 2011-03-24 00:43:47, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.001643
127.0.0.1, 2011-03-24 00:43:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000426
127.0.0.1, 2011-03-24 00:43:56, GET, /admin/default/errors/welcome/old, HTTP/1.1, 200, 0.026988
127.0.0.1, 2011-03-24 00:43:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000429
127.0.0.1, 2011-03-24 00:43:58, GET, /admin/default/errors/welcome/new, HTTP/1.1, 200, 0.459392
127.0.0.1, 2011-03-24 00:43:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
